,trip_id,trip_headsign
0,ASP22GEN-1037-Sunday-00_000600_1..S03R,South Ferry
1,ASP22GEN-1037-Sunday-00_002600_1..S03R,South Ferry
2,ASP22GEN-1037-Sunday-00_004600_1..S03R,South Ferry
3,ASP22GEN-1037-Sunday-00_006600_1..S03R,South Ferry
4,ASP22GEN-1037-Sunday-00_007200_1..N03R,Van Cortlandt Park-242 St
5,ASP22GEN-1037-Sunday-00_008600_1..S03R,South Ferry
6,ASP22GEN-1037-Sunday-00_009200_1..N03R,Van Cortlandt Park-242 St
7,ASP22GEN-1037-Sunday-00_010600_1..S03R,South Ferry
8,ASP22GEN-1037-Sunday-00_011200_1..N03R,Van Cortlandt Park-242 St
9,ASP22GEN-1037-Sunday-00_012600_1..S03R,South Ferry
10,ASP22GEN-1037-Sunday-00_013200_1..N03R,Van Cortlandt Park-242 St
11,ASP22GEN-1037-Sunday-00_014600_1..S03R,South Ferry
12,ASP22GEN-1037-Sunday-00_015200_1..N03R,Van Cortlandt Park-242 St
13,ASP22GEN-1037-Sunday-00_016600_1..S03R,South Ferry
14,ASP22GEN-1037-Sunday-00_017200_1..N03R,Van Cortlandt Park-242 St
15,ASP22GEN-1037-Sunday-00_018600_1..S03R,South Ferry
16,ASP22GEN-1037-Sunday-00_019200_1..N03R,Van Cortlandt Park-242 St
17,ASP22GEN-1037-Sunday-00_020600_1..S03R,South Ferry
18,ASP22GEN-1037-Sunday-00_021200_1..N03R,Van Cortlandt Park-242 St
19,ASP22GEN-1037-Sunday-00_022600_1..S03R,South Ferry
20,ASP22GEN-1037-Sunday-00_023200_1..N03R,Van Cortlandt Park-242 St
21,ASP22GEN-1037-Sunday-00_024600_1..S03R,South Ferry
22,ASP22GEN-1037-Sunday-00_025200_1..N03R,Van Cortlandt Park-242 St
23,ASP22GEN-1037-Sunday-00_026600_1..S03R,South Ferry
24,ASP22GEN-1037-Sunday-00_027200_1..N03R,Van Cortlandt Park-242 St
25,ASP22GEN-1037-Sunday-00_028600_1..S03R,South Ferry
26,ASP22GEN-1037-Sunday-00_029200_1..N03R,Van Cortlandt Park-242 St
27,ASP22GEN-1037-Sunday-00_030600_1..S03R,South Ferry
28,ASP22GEN-1037-Sunday-00_031200_1..N03R,Van Cortlandt Park-242 St
29,ASP22GEN-1037-Sunday-00_032600_1..S03R,South Ferry
30,ASP22GEN-1037-Sunday-00_033200_1..N03R,Van Cortlandt Park-242 St
31,ASP22GEN-1037-Sunday-00_034600_1..S03R,South Ferry
32,ASP22GEN-1037-Sunday-00_035200_1..N03R,Van Cortlandt Park-242 St
33,ASP22GEN-1037-Sunday-00_036450_1..S03R,South Ferry
34,ASP22GEN-1037-Sunday-00_037200_1..N03R,Van Cortlandt Park-242 St
35,ASP22GEN-1037-Sunday-00_038350_1..S03R,South Ferry
36,ASP22GEN-1037-Sunday-00_039200_1..N03R,Van Cortlandt Park-242 St
37,ASP22GEN-1037-Sunday-00_040250_1..S03R,South Ferry
38,ASP22GEN-1037-Sunday-00_041200_1..N03R,Van Cortlandt Park-242 St
39,ASP22GEN-1037-Sunday-00_041850_1..S03R,South Ferry
40,ASP22GEN-1037-Sunday-00_043200_1..N03R,Van Cortlandt Park-242 St
41,ASP22GEN-1037-Sunday-00_043400_1..S03R,South Ferry
42,ASP22GEN-1037-Sunday-00_044750_1..S03R,South Ferry
43,ASP22GEN-1037-Sunday-00_045200_1..N03R,Van Cortlandt Park-242 St
44,ASP22GEN-1037-Sunday-00_045750_1..S03R,South Ferry
45,ASP22GEN-1037-Sunday-00_046750_1..S03R,South Ferry
46,ASP22GEN-1037-Sunday-00_047200_1..N03R,Van Cortlandt Park-242 St
47,ASP22GEN-1037-Sunday-00_047750_1..S03R,South Ferry
48,ASP22GEN-1037-Sunday-00_048750_1..S03R,South Ferry
49,ASP22GEN-1037-Sunday-00_048850_1..N03R,Van Cortlandt Park-242 St
50,ASP22GEN-1037-Sunday-00_049750_1..S03R,South Ferry
51,ASP22GEN-1037-Sunday-00_050200_1..N03R,Van Cortlandt Park-242 St
52,ASP22GEN-1037-Sunday-00_050750_1..S03R,South Ferry
53,ASP22GEN-1037-Sunday-00_051400_1..N03R,Van Cortlandt Park-242 St
54,ASP22GEN-1037-Sunday-00_051750_1..S03R,South Ferry
55,ASP22GEN-1037-Sunday-00_052650_1..N03R,Van Cortlandt Park-242 St
56,ASP22GEN-1037-Sunday-00_052750_1..S03R,South Ferry
57,ASP22GEN-1037-Sunday-00_053750_1..S03R,South Ferry
58,ASP22GEN-1037-Sunday-00_053850_1..N03R,Van Cortlandt Park-242 St
59,ASP22GEN-1037-Sunday-00_054750_1..S03R,South Ferry
60,ASP22GEN-1037-Sunday-00_055050_1..N03R,Van Cortlandt Park-242 St
61,ASP22GEN-1037-Sunday-00_055750_1..S03R,South Ferry
62,ASP22GEN-1037-Sunday-00_056250_1..N03R,Van Cortlandt Park-242 St
63,ASP22GEN-1037-Sunday-00_056550_1..S03R,South Ferry
64,ASP22GEN-1037-Sunday-00_057250_1..N03R,Van Cortlandt Park-242 St
65,ASP22GEN-1037-Sunday-00_057350_1..S03R,South Ferry
66,ASP22GEN-1037-Sunday-00_058150_1..S03R,South Ferry
67,ASP22GEN-1037-Sunday-00_058250_1..N03R,Van Cortlandt Park-242 St
68,ASP22GEN-1037-Sunday-00_058950_1..S03R,South Ferry
69,ASP22GEN-1037-Sunday-00_059250_1..N03R,Van Cortlandt Park-242 St
70,ASP22GEN-1037-Sunday-00_059750_1..S03R,South Ferry
71,ASP22GEN-1037-Sunday-00_060250_1..N03R,Van Cortlandt Park-242 St
72,ASP22GEN-1037-Sunday-00_060550_1..S03R,South Ferry
73,ASP22GEN-1037-Sunday-00_061250_1..N03R,Van Cortlandt Park-242 St
74,ASP22GEN-1037-Sunday-00_061350_1..S03R,South Ferry
75,ASP22GEN-1037-Sunday-00_062050_1..N03R,Van Cortlandt Park-242 St
76,ASP22GEN-1037-Sunday-00_062150_1..S03R,South Ferry
77,ASP22GEN-1037-Sunday-00_062850_1..N03R,Van Cortlandt Park-242 St
78,ASP22GEN-1037-Sunday-00_062900_1..S03R,South Ferry
79,ASP22GEN-1037-Sunday-00_063650_1..N03R,Van Cortlandt Park-242 St
80,ASP22GEN-1037-Sunday-00_063750_1..S03R,South Ferry
81,ASP22GEN-1037-Sunday-00_064450_1..N03R,Van Cortlandt Park-242 St
82,ASP22GEN-1037-Sunday-00_064550_1..S03R,South Ferry
83,ASP22GEN-1037-Sunday-00_065250_1..N03R,Van Cortlandt Park-242 St
84,ASP22GEN-1037-Sunday-00_065350_1..S03R,South Ferry
85,ASP22GEN-1037-Sunday-00_066050_1..N03R,Van Cortlandt Park-242 St
86,ASP22GEN-1037-Sunday-00_066150_1..S03R,South Ferry
87,ASP22GEN-1037-Sunday-00_066850_1..N03R,Van Cortlandt Park-242 St
88,ASP22GEN-1037-Sunday-00_066950_1..S03R,South Ferry
89,ASP22GEN-1037-Sunday-00_067650_1..N03R,Van Cortlandt Park-242 St
90,ASP22GEN-1037-Sunday-00_067750_1..S03R,South Ferry
91,ASP22GEN-1037-Sunday-00_068450_1..N03R,Van Cortlandt Park-242 St
92,ASP22GEN-1037-Sunday-00_068550_1..S03R,South Ferry
93,ASP22GEN-1037-Sunday-00_069250_1..N03R,Van Cortlandt Park-242 St
94,ASP22GEN-1037-Sunday-00_069350_1..S03R,South Ferry
95,ASP22GEN-1037-Sunday-00_070050_1..N03R,Van Cortlandt Park-242 St
96,ASP22GEN-1037-Sunday-00_070150_1..S03R,South Ferry
97,ASP22GEN-1037-Sunday-00_070850_1..N03R,Van Cortlandt Park-242 St
98,ASP22GEN-1037-Sunday-00_070950_1..S03R,South Ferry
99,ASP22GEN-1037-Sunday-00_071650_1..N03R,Van Cortlandt Park-242 St
100,ASP22GEN-1037-Sunday-00_071750_1..S03R,South Ferry
101,ASP22GEN-1037-Sunday-00_072450_1..N03R,Van Cortlandt Park-242 St
102,ASP22GEN-1037-Sunday-00_072550_1..S03R,South Ferry
103,ASP22GEN-1037-Sunday-00_073250_1..N03R,Van Cortlandt Park-242 St
104,ASP22GEN-1037-Sunday-00_073350_1..S03R,South Ferry
105,ASP22GEN-1037-Sunday-00_074050_1..N03R,Van Cortlandt Park-242 St
106,ASP22GEN-1037-Sunday-00_074150_1..S03R,South Ferry
107,ASP22GEN-1037-Sunday-00_074850_1..N03R,Van Cortlandt Park-242 St
108,ASP22GEN-1037-Sunday-00_074950_1..S03R,South Ferry
109,ASP22GEN-1037-Sunday-00_075650_1..N03R,Van Cortlandt Park-242 St
110,ASP22GEN-1037-Sunday-00_075750_1..S03R,South Ferry
111,ASP22GEN-1037-Sunday-00_076450_1..N03R,Van Cortlandt Park-242 St
112,ASP22GEN-1037-Sunday-00_076550_1..S03R,South Ferry
113,ASP22GEN-1037-Sunday-00_077250_1..N03R,Van Cortlandt Park-242 St
114,ASP22GEN-1037-Sunday-00_077350_1..S03R,South Ferry
115,ASP22GEN-1037-Sunday-00_078050_1..N03R,Van Cortlandt Park-242 St
116,ASP22GEN-1037-Sunday-00_078150_1..S03R,South Ferry
117,ASP22GEN-1037-Sunday-00_078850_1..N03R,Van Cortlandt Park-242 St
118,ASP22GEN-1037-Sunday-00_078950_1..S03R,South Ferry
119,ASP22GEN-1037-Sunday-00_079650_1..N03R,Van Cortlandt Park-242 St
120,ASP22GEN-1037-Sunday-00_079750_1..S03R,South Ferry
121,ASP22GEN-1037-Sunday-00_080450_1..N03R,Van Cortlandt Park-242 St
122,ASP22GEN-1037-Sunday-00_080550_1..S03R,South Ferry
123,ASP22GEN-1037-Sunday-00_081250_1..N03R,Van Cortlandt Park-242 St
124,ASP22GEN-1037-Sunday-00_081350_1..S03R,South Ferry
125,ASP22GEN-1037-Sunday-00_082050_1..N03R,Van Cortlandt Park-242 St
